strategy,timeframe,position_size,position_pct,trade_size,last_close,net_pnl,win_rate,max_drawdown,total_trades,avg_trade_pnl,total_return,equity_curve_path,run_id
sma,5m,2%,0.02,0.0017065666209050828,117194.37,-4.421656586402605,12.5,0.04421656586402605,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/sma_5m_2pct.png,sma_5m_2pct
sma,5m,5%,0.05,0.004266416552262707,117194.37,-11.054141466007422,12.5,0.11054141466007422,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/sma_5m_5pct.png,sma_5m_5pct
sma,5m,10%,0.1,0.008532833104525414,117194.37,-22.108282932020302,12.5,0.221082829320203,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/sma_5m_10pct.png,sma_5m_10pct
sma,1h,2%,0.02,0.0017065666209050828,117194.37,-3.0967867654417205,40.0,0.07697263757678975,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/sma_1h_2pct.png,sma_1h_2pct
sma,1h,5%,0.05,0.004266416552262707,117194.37,-7.741966913599754,40.0,0.19229920993366925,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/sma_1h_5pct.png,sma_1h_5pct
sma,1h,10%,0.1,0.008532833104525414,117194.37,-15.48393382719587,40.0,0.3841579484597375,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/sma_1h_10pct.png,sma_1h_10pct
rsi,5m,2%,0.02,0.0017065666209050828,117194.37,-0.7887742388993502,100.0,0.011958833316936538,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/rsi_5m_2pct.png,rsi_5m_2pct
rsi,5m,5%,0.05,0.004266416552262707,117194.37,-1.9719355972465564,100.0,0.029895257553645454,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/rsi_5m_5pct.png,rsi_5m_5pct
rsi,5m,10%,0.1,0.008532833104525414,117194.37,-3.943871194496751,100.0,0.05978443030265453,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/rsi_5m_10pct.png,rsi_5m_10pct
rsi,1h,2%,0.02,0.0017065666209050828,117194.37,29.010725873606134,100.0,0.059006313766577424,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/rsi_1h_2pct.png,rsi_1h_2pct
rsi,1h,5%,0.05,0.004266416552262707,117194.37,72.52681468401715,100.0,0.1474997206870442,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/rsi_1h_5pct.png,rsi_1h_5pct
rsi,1h,10%,0.1,0.008532833104525414,117194.37,145.0536293680325,100.0,0.2949459111554192,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/rsi_1h_10pct.png,rsi_1h_10pct
macd,5m,2%,0.02,0.0017065666209050828,117194.37,-4.152148332719662,33.33333333333333,0.0442338829758091,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/macd_5m_2pct.png,macd_5m_2pct
macd,5m,5%,0.05,0.004266416552262707,117194.37,-10.380370831802793,33.33333333333333,0.11058020650498716,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/macd_5m_5pct.png,macd_5m_5pct
macd,5m,10%,0.1,0.008532833104525414,117194.37,-20.760741663612862,33.33333333333333,0.22114541152316314,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/macd_5m_10pct.png,macd_5m_10pct
macd,1h,2%,0.02,0.0017065666209050828,117194.37,0.6904904220227763,54.54545454545454,0.06799527107308097,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/macd_1h_2pct.png,macd_1h_2pct
macd,1h,5%,0.05,0.004266416552262707,117194.37,1.7262260550523933,54.54545454545454,0.1697974230029032,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/macd_1h_5pct.png,macd_1h_5pct
macd,1h,10%,0.1,0.008532833104525414,117194.37,3.4524521101157006,54.54545454545454,0.3389608962599854,0,0.0,0.0,/home/ubuntu/repos/trading-bot-devin-demo/artifacts/simulations/equity_curves/macd_1h_10pct.png,macd_1h_10pct
